name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
Asus Zenbook Pro Duo OLED UX582LR-H2002T Celestial Blue...,32 GB,Intel Core i9 10980HK Comet Lake,1 000 GB (1 TB),3840 × 2160 px,440 Nits,Bez možnosti nabíjet přes USB-C,"55 770,-"
ASUS TUF Gaming A16 Advantage Edition FA617XS-N3032W...,16 GB,AMD Ryzen 9 7940HS,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,0 ×,"34 311,-"
Lenovo ThinkPad X1 Extreme Gen 4 Black/Weave,32 GB,Intel Core i7 11850H Tiger Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,1 000 GB,"99 990,-"
Acer Nitro 5 Obsidian Black,8 GB,Intel Core i5 10300H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"16 426,-"
MSI Vector GP66 12UGS-631CZ,16 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"50 503,-"
Dell G5 15 Gaming (5510),8 GB,Intel Core i5 10200H Comet Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,"512 GB (0,51 TB)","16 790,-"
ASUS ROG Flow Z13 GZ301ZC-LD122W Black + ROG XG Mobile...,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",1920 × 1200 px,120 Hz,"512 GB (0,51 TB)","52 791,-"
Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový,16 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4060,"38 623,-"
MSI Stealth GS66 12UHS-085CZ,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3840 × 2160 px,120 Hz,Windows 11 Home,"95 990,-"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,8 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"19 488,-"
GIGABYTE G5 KF,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"27 990,-"
Dell Alienware x17 R2 Silver,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,360 Hz,NVIDIA GeForce,"87 990,-"
